Ngay,Ma_CP,Nganh,Gia_Mo_Cua,Gia_Dong_Cua,Gia_Cao_Nhat,Gia_Thap_Nhat,Khoi_Luong_Giao_Dich,Xu_Huong_Thi_Truong,Ty_Suat_Co_Tuc,He_So_P/E
2023-01-02,VNM,Hàng tiêu dùng,79100,79000.0,80100,78200,10.3,Đi ngang,5.6,21.5
2023-01-03,VNM,Hàng tiêu dùng,79000,78100.0,80400,77700,10.7,Giảm,5.6,21.1
2023-01-04,VNM,Hàng tiêu dùng,79500,78800.0,80000,78300,8.7,Giảm,5.6,21.2
2023-01-05,VNM,Hàng tiêu dùng,75200,76800.0,77500,74600,7.0,Tăng,5.6,20.6
2023-01-06,VNM,Hàng tiêu dùng,77200,77700.0,79000,75900,8.0,Đi ngang,5.6,20.6
2023-01-09,VNM,Hàng tiêu dùng,74700,76100.0,76900,74000,14.8,Tăng,5.6,20.2
2023-01-10,VNM,Hàng tiêu dùng,79300,78100.0,79800,76700,4.4,Giảm,5.6,20.4
2023-01-11,VNM,Hàng tiêu dùng,82000,80400.0,82900,79800,10.9,Giảm,5.6,20.7
2023-01-12,VNM,Hàng tiêu dùng,84900,,85500,82500,4.4,Giảm,5.6,21.2
2023-01-13,VNM,Hàng tiêu dùng,84800,83200.0,85600,82700,5.5,Giảm,5.6,21.0
2023-01-16,VNM,Hàng tiêu dùng,87900,,89000,85900,10.4,Giảm,5.6,21.6
2023-01-17,VNM,Hàng tiêu dùng,86100,86200.0,86700,85500,6.7,Đi ngang,5.6,21.3
2023-01-18,VNM,Hàng tiêu dùng,86800,87300.0,88000,85800,3.4,Đi ngang,5.6,21.5
2023-01-19,VNM,Hàng tiêu dùng,89300,89700.0,90200,87900,4.5,Đi ngang,5.6,21.7
2023-01-20,VNM,Hàng tiêu dùng,90200,90800.0,91800,89700,4.6,Đi ngang,5.5,21.7
2023-01-23,VNM,Hàng tiêu dùng,92500,92900.0,93200,91600,6.1,Đi ngang,5.5,22.0
2023-01-24,VNM,Hàng tiêu dùng,95700,95900.0,96700,94600,,Đi ngang,5.5,22.6
2023-01-25,VNM,Hàng tiêu dùng,100800,,101500,97800,5.6,Giảm,5.5,22.9
2023-01-26,VNM,Hàng tiêu dùng,103300,102500.0,104300,102200,,Giảm,5.5,23.2
2023-01-27,VNM,Hàng tiêu dùng,101000,102900.0,103600,99500,8.1,Tăng,5.5,23.0
2023-01-30,VNM,Hàng tiêu dùng,105000,105800.0,106400,104700,10.3,Tăng,5.5,23.6
2023-01-31,VNM,Hàng tiêu dùng,107400,108400.0,109500,106500,12.4,Tăng,5.5,23.9
2023-02-01,VNM,Hàng tiêu dùng,104700,105800.0,107000,104000,15.4,Tăng,5.5,23.7
2023-02-02,VNM,Hàng tiêu dùng,103800,104700.0,105600,102300,5.0,Đi ngang,5.5,23.7
2023-02-03,VNM,Hàng tiêu dùng,107000,106600.0,107400,105300,4.1,Đi ngang,5.5,24.2
2023-02-06,VNM,Hàng tiêu dùng,107600,105800.0,108600,104700,5.8,Giảm,5.5,24.1
2023-02-07,VNM,Hàng tiêu dùng,106100,105800.0,107000,104500,9.5,Đi ngang,5.5,24.1
2023-02-08,VNM,Hàng tiêu dùng,106200,106500.0,107000,104900,16.9,Đi ngang,5.5,24.6
2023-02-09,VNM,Hàng tiêu dùng,102900,102300.0,103300,101300,17.6,Đi ngang,5.5,24.0
2023-02-10,VNM,Hàng tiêu dùng,103900,102100.0,105300,101800,11.0,Giảm,5.5,24.2
2023-02-13,VNM,Hàng tiêu dùng,100200,99800.0,100700,99500,15.8,Giảm,5.5,23.9
2023-02-14,VNM,Hàng tiêu dùng,98500,98500.0,99300,97800,9.9,Đi ngang,5.5,23.9
2023-02-15,VNM,Hàng tiêu dùng,99800,98900.0,101000,97400,4.0,Đi ngang,5.5,24.4
2023-02-16,VNM,Hàng tiêu dùng,95300,95200.0,95900,94800,4.6,Đi ngang,5.5,23.8
2023-02-17,VNM,Hàng tiêu dùng,93900,95900.0,96900,92800,15.0,Tăng,5.5,24.0
2023-02-20,VNM,Hàng tiêu dùng,91300,92600.0,93500,90300,14.1,Tăng,5.5,
2023-02-21,VNM,Hàng tiêu dùng,92800,91900.0,93900,90600,12.9,Đi ngang,5.6,23.5
2023-02-22,VNM,Hàng tiêu dùng,94100,92700.0,94900,91400,15.3,Giảm,5.6,24.0
2023-02-23,VNM,Hàng tiêu dùng,89500,88800.0,90000,88300,8.6,Giảm,5.6,23.3
2023-02-24,VNM,Hàng tiêu dùng,91400,89700.0,92300,88600,4.6,Giảm,5.6,23.9
2023-02-27,VNM,Hàng tiêu dùng,88300,89400.0,90700,87100,5.9,Tăng,5.6,24.1
2023-02-28,VNM,Hàng tiêu dùng,84000,85300.0,86700,82900,4.5,Tăng,5.6,23.4
2023-03-01,VNM,Hàng tiêu dùng,88600,88100.0,89800,87100,8.3,Đi ngang,5.6,23.8
2023-03-02,VNM,Hàng tiêu dùng,89100,89600.0,90500,87700,8.3,Đi ngang,5.6,23.8
2023-03-03,VNM,Hàng tiêu dùng,88400,89100.0,89600,87600,10.3,Tăng,5.6,23.3
2023-03-06,VNM,Hàng tiêu dùng,91400,91800.0,93300,90700,12.6,Đi ngang,5.6,23.6
